[2026-03-12T16:38:50.099683Z] | [0.54] | [0f7dcd1e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.101797Z] | [3.81] | [80906de2] | [Banco Unión S.A.]
[2026-03-12T16:38:50.103825Z] | [3.05] | [fced7d82] | [Banco Unión S.A.]
[2026-03-12T16:38:50.105402Z] | [0.82] | [63104b8b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.107874Z] | [1.93] | [2ed4920e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.109432Z] | [3.26] | [9df92bcc] | [Banco Unión S.A.]
[2026-03-12T16:38:50.110958Z] | [1.3] | [f9a9fdf5] | [Banco Unión S.A.]
[2026-03-12T16:38:50.112484Z] | [2.4] | [53a6cc4d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.113996Z] | [1.73] | [1a769f05] | [Banco Unión S.A.]
[2026-03-12T16:38:50.116315Z] | [2.26] | [724be886] | [Banco Unión S.A.]
[2026-03-12T16:38:50.117750Z] | [1.44] | [05706cf4] | [Banco Unión S.A.]
[2026-03-12T16:38:50.119648Z] | [3.36] | [4088f2c6] | [Banco Unión S.A.]
[2026-03-12T16:38:50.121106Z] | [0.82] | [2a66019d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.122867Z] | [3.39] | [cabb4262] | [Banco Unión S.A.]
[2026-03-12T16:38:50.124375Z] | [1.75] | [91a67508] | [Banco Unión S.A.]
[2026-03-12T16:38:50.125877Z] | [1.06] | [ad1ea150] | [Banco Unión S.A.]
[2026-03-12T16:38:50.127511Z] | [1.49] | [1c5bd0d1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.129088Z] | [1.74] | [4f758d9f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.130640Z] | [0.55] | [8688c1f9] | [Banco Unión S.A.]
[2026-03-12T16:38:50.132229Z] | [1.86] | [da5ebada] | [Banco Unión S.A.]
[2026-03-12T16:38:50.134002Z] | [1.43] | [b765da15] | [Banco Unión S.A.]
[2026-03-12T16:38:50.135437Z] | [1.64] | [a2351240] | [Banco Unión S.A.]
[2026-03-12T16:38:50.136841Z] | [2.32] | [493ae56d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.138258Z] | [0.7] | [2c1cc60e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.139690Z] | [0.85] | [ab1ab367] | [Banco Unión S.A.]
[2026-03-12T16:38:50.141095Z] | [2.37] | [c896103c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.142631Z] | [3.13] | [83ef429a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.143972Z] | [2.69] | [f0cdb1c7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.145375Z] | [2.55] | [f93cfd78] | [Banco Unión S.A.]
[2026-03-12T16:38:50.146693Z] | [2.02] | [1135e685] | [Banco Unión S.A.]
[2026-03-12T16:38:50.148052Z] | [2.52] | [d5963f2f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.149743Z] | [1.78] | [91be4bf3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.153050Z] | [3.34] | [50e425b5] | [Banco Unión S.A.]
[2026-03-12T16:38:50.155932Z] | [1.11] | [12999ff3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.157580Z] | [1.52] | [a7d39b94] | [Banco Unión S.A.]
[2026-03-12T16:38:50.159110Z] | [1.66] | [ed640f42] | [Banco Unión S.A.]
[2026-03-12T16:38:50.160864Z] | [2.5] | [5ca35afc] | [Banco Unión S.A.]
[2026-03-12T16:38:50.164194Z] | [3.41] | [5618c34a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.167282Z] | [2.6] | [f883b3b8] | [Banco Unión S.A.]
[2026-03-12T16:38:50.168801Z] | [1.03] | [31af821c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.170875Z] | [2.47] | [347c2865] | [Banco Unión S.A.]
[2026-03-12T16:38:50.173243Z] | [1.95] | [4288609b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.175207Z] | [2.86] | [3ace106e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.176950Z] | [1.91] | [2169ceec] | [Banco Unión S.A.]
[2026-03-12T16:38:50.178887Z] | [0.71] | [c841947c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.180867Z] | [1.44] | [76b0ff53] | [Banco Unión S.A.]
[2026-03-12T16:38:50.183533Z] | [2.6] | [e4fb5b21] | [Banco Unión S.A.]
[2026-03-12T16:38:50.185155Z] | [1.25] | [30164eb5] | [Banco Unión S.A.]
[2026-03-12T16:38:50.186793Z] | [3.28] | [bff96bda] | [Banco Unión S.A.]
[2026-03-12T16:38:50.188366Z] | [1.68] | [0ce438d1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.189798Z] | [3.56] | [43285e5e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.191238Z] | [3.07] | [dadb48a7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.192658Z] | [3.91] | [771358f2] | [Banco Unión S.A.]
[2026-03-12T16:38:50.194084Z] | [3.97] | [7eca70ab] | [Banco Unión S.A.]
[2026-03-12T16:38:50.195722Z] | [1.52] | [3a5d167c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.197900Z] | [3.76] | [da60bee7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.199460Z] | [1.16] | [ad03d283] | [Banco Unión S.A.]
[2026-03-12T16:38:50.200932Z] | [2.2] | [3bb5418e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.202432Z] | [2.65] | [31b79a89] | [Banco Unión S.A.]
[2026-03-12T16:38:50.203995Z] | [2.46] | [c86129f8] | [Banco Unión S.A.]
[2026-03-12T16:38:50.205659Z] | [3.78] | [babaa94b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.207470Z] | [2.78] | [c68c683b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.209065Z] | [3.72] | [a9537cf2] | [Banco Unión S.A.]
[2026-03-12T16:38:50.210678Z] | [0.61] | [40a81dee] | [Banco Unión S.A.]
[2026-03-12T16:38:50.213140Z] | [1.79] | [4d6d63dc] | [Banco Unión S.A.]
[2026-03-12T16:38:50.214808Z] | [2.51] | [d9376327] | [Banco Unión S.A.]
[2026-03-12T16:38:50.216631Z] | [1.54] | [9f2be130] | [Banco Unión S.A.]
[2026-03-12T16:38:50.218388Z] | [2.43] | [167ba801] | [Banco Unión S.A.]
[2026-03-12T16:38:50.219961Z] | [1.78] | [56e7025b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.221591Z] | [1.84] | [a1685797] | [Banco Unión S.A.]
[2026-03-12T16:38:50.222983Z] | [2.22] | [e347069e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.224398Z] | [1.54] | [385cb76d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.225970Z] | [1.18] | [06fb87a7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.230894Z] | [2.76] | [879086f3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.232898Z] | [1.01] | [aba54b3f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.234489Z] | [1.22] | [97a956cb] | [Banco Unión S.A.]
[2026-03-12T16:38:50.236116Z] | [3.3] | [0c20382c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.248069Z] | [1.27] | [a0c8989e] | [Banco Unión S.A.]
